Brand,Model,Variant,Descriptor,Audience,Price Band,Current Image URL,Status,Notes
Air Jordan,Air Jordan 1,High/Mid/Low,Iconic silhouette that launched the culture,Collectors & streetwear,Premium,https://images.unsplash.com/photo-1556906781-9a412961c28c?w=500,,
Air Jordan,Air Jordan 2,OG/Retro,Sleek luxury basketball silhouette,Vintage lovers,Premium,https://images.unsplash.com/photo-1552346154-21d32810aba3?w=500,,
Air Jordan,Air Jordan 3,OG/Retro (Cement Fire Red),Tumbled leather + elephant print MJ era classic,Collectors,Premium,https://images.unsplash.com/photo-1584735175097-719d848f8449?w=500,,
Air Jordan,Air Jordan 4,OG/Retro (White Bred),Mesh + visible air street staple,Sneakerheads,Premium,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=500,,
Air Jordan,Air Jordan 5,OG/Retro,Reflective tongue + shark-tooth midsole,Retro fans,Premium,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=500,,
Air Jordan,Air Jordan 6,OG/Retro,Visible heel tab infra-red hits,MJ fans & retro collectors,Premium,https://images.unsplash.com/photo-1600269452121-4f2416e55c28?w=500,,
Air Jordan,Air Jordan 11,Concord/Bred/Cool Grey,Patent leather luxury performance crossover,Hype collectors,Premium,https://images.unsplash.com/photo-1579338559194-a162d19bf842?w=500,,
Air Jordan,Air Jordan 12,Retro,Premium leather bold stitching,Dress-up sneaker fans,Premium,https://images.unsplash.com/photo-1514989940723-e8e51635b782?w=500,,
Air Jordan,Air Jordan 13,Retro,Panther-inspired silhouette techy sole,Classic collectors,Premium,https://images.unsplash.com/photo-1543508282-6319a3e2621f?w=500,,
Air Jordan,Jordan Legacy / Recent,Low/Mid/High,Modern player models influenced by AJ legacy,Younger players & streetwear,Mid,https://images.unsplash.com/photo-1552346154-21d32810aba3?w=500,,
Nike,Air Force 1 Low,White/All-Black/Custom,Minimal timeless everyday sneaker,All audiences,Mid,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=500,,
Nike,Air Force 1 Mid,—,Slightly elevated ankle coverage,Street stylers,Mid,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?w=500,,
Nike,Air Force 1 High,—,Classic high-top AF1 look,Retro lovers,Mid,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=500,,
Nike,Air Force 1 Shadow,—,Layered panels chunky aesthetic,Trend-focused Gen Z,Mid,https://images.unsplash.com/photo-1600185365926-3a2ce3cdb9eb?w=500,,
Nike,Air Force 1 Pixel,—,Modernized AF1 silhouette,Casual wearers,Mid,https://images.unsplash.com/photo-1515955656352-a1fa3ffcd111?w=500,,
Vans,Old Skool,Low,Suede + canvas side stripe skate staple,Skaters & creatives,Entry,https://images.unsplash.com/photo-1543508282-7a2aa0ff4a43?w=500,,
Vans,Sk8-Hi,High,Padded collar ankle support,Streetstyle & skateboarders,Entry,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=500,,
Vans,Authentic,Low,Original canvas low-top,Casual & classic looks,Entry,https://images.unsplash.com/photo-1533630654995-13c4fb6e3e8e?w=500,,
Vans,Era,Low,Updated fit with padded collar,Skate casuals,Entry,https://images.unsplash.com/photo-1606890737304-57a1ca8a5b62?w=500,,
Vans,Slip-On,Checkerboard,Iconic easy-wear model,Festival & casual crowd,Entry,https://images.unsplash.com/photo-1511556532299-8f662fc26c06?w=500,,
Canvas,Chuck Taylor All-Star,High/Low/Platform,Timeless canvas silhouette,Students creatives,Entry,https://images.unsplash.com/photo-1515347619252-60a4bf4fff4f?w=500,,
Canvas,Converse Platform,High/Low,Elevated sole for fashion-forward fits,Trendsetters,Entry,https://images.unsplash.com/photo-1495555961986-6d4c1ecb7be3?w=500,,
Canvas,Canvas Casuals,Low/High,Affordable everyday streetwear,Everyday wearers,Entry,https://images.unsplash.com/photo-1560769629-975ec94e6a86?w=500,,
Nike,Air Max 1,—,OG visible air unit classic lines,Heritage fans,Mid,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=500,,
Nike,Air Max 90,—,Chunky midsole icon for 90s revival,Retro streetwear,Mid,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?w=500,,
Nike,Air Max 95,—,Layered side panels bold profile,Statement makers,Mid,https://images.unsplash.com/photo-1556906781-9a412961c28c?w=500,,
Nike,Air Max 97,—,Wave lines full-length air unit,Sleek streetwear,Mid,https://images.unsplash.com/photo-1554136920-a1df2909d8f2?w=500,,
Nike,Air Max 270,—,Large heel air bubble lifestyle comfort,Casual wearers,Mid,https://images.unsplash.com/photo-1600185365926-3a2ce3cdb9eb?w=500,,
Nike,Air Max Plus (TN),—,Tuned air tech distinctive design,Hype & OG fans,Mid,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=500,,
Adidas,Superstar,Low,Shell-toe classic,Timeless streetwear,Mid,https://images.unsplash.com/photo-1545957509-8b3733555226?w=500,,
Adidas,Stan Smith,Low,Clean tennis silhouette,Minimalist fashion,Mid,https://images.unsplash.com/photo-1560769629-975ec94e6a86?w=500,,
Adidas,Samba,Low,Indoor soccer heritage,Retro & street stylers,Mid,https://images.unsplash.com/photo-1529339944280-1a37d9698e6e?w=500,,
Adidas,NMD,Low,Boost midsole modern lifestyle,Urban commuters,Mid,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=500,,
